date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed
2020-03-08,1.0,0.0,0.143,,,
2020-03-09,1.0,0.0,0.143,,,
2020-03-10,1.0,0.0,0.0,,,
2020-03-11,1.0,0.0,0.0,,,
2020-03-12,1.0,0.0,0.0,,,
2020-03-13,3.0,2.0,0.286,1.0,1.0,
2020-03-14,3.0,0.0,0.286,1.0,0.0,
2020-03-15,3.0,0.0,0.286,1.0,0.0,
2020-03-16,7.0,4.0,0.857,1.0,0.0,
2020-03-17,14.0,7.0,1.857,2.0,1.0,
2020-03-18,14.0,0.0,1.857,2.0,0.0,0.286
2020-03-19,16.0,2.0,2.143,2.0,0.0,0.286
2020-03-20,29.0,13.0,3.714,3.0,1.0,0.286
2020-03-21,47.0,18.0,6.286,3.0,0.0,0.286
2020-03-22,73.0,26.0,10.0,3.0,0.0,0.286
2020-03-23,73.0,0.0,9.429,3.0,0.0,0.286
2020-03-24,97.0,24.0,11.857,3.0,0.0,0.143
2020-03-25,145.0,48.0,18.714,5.0,2.0,0.429
2020-03-26,196.0,51.0,25.714,5.0,0.0,0.429
2020-03-27,310.0,114.0,40.143,5.0,0.0,0.286
2020-03-28,356.0,46.0,44.143,9.0,4.0,0.857
2020-03-29,475.0,119.0,57.429,10.0,1.0,1.0
2020-03-30,548.0,73.0,67.857,13.0,3.0,1.429
2020-03-31,645.0,97.0,78.286,17.0,4.0,2.0
2020-04-01,794.0,149.0,92.714,20.0,3.0,2.143
2020-04-02,897.0,103.0,100.143,22.0,2.0,2.429
2020-04-03,1072.0,175.0,108.857,27.0,5.0,3.143
2020-04-04,1225.0,153.0,124.143,32.0,5.0,3.286
2020-04-05,1308.0,83.0,119.0,37.0,5.0,3.857
2020-04-06,1319.0,11.0,110.143,38.0,1.0,3.571
2020-04-07,1462.0,143.0,116.714,45.0,7.0,4.0
2020-04-08,1668.0,206.0,124.857,52.0,7.0,4.571
2020-04-09,1892.0,224.0,142.143,57.0,5.0,5.0
2020-04-10,2203.0,311.0,161.571,69.0,12.0,6.0
2020-04-11,2511.0,308.0,183.714,73.0,4.0,5.857
2020-04-12,2777.0,266.0,209.857,83.0,10.0,6.571
2020-04-13,3102.0,325.0,254.714,93.0,10.0,7.857
2020-04-14,3372.0,270.0,272.857,98.0,5.0,7.571
2020-04-15,3764.0,392.0,299.429,108.0,10.0,8.0
2020-04-16,4161.0,397.0,324.143,116.0,8.0,8.429
2020-04-17,4662.0,501.0,351.286,125.0,9.0,8.0
2020-04-18,5106.0,444.0,370.714,133.0,8.0,8.571
